scientific_name,category,year_published,url,assessment_id
Zanclostomus javanicus,LC,2018,https://www.iucnredlist.org/species/22684110/130088567,130088567
Rhamphococcyx calyorhynchus,LC,2018,https://www.iucnredlist.org/species/22684113/130088909,130088909
Coua coquereli,LC,2018,https://www.iucnredlist.org/species/22684152/130089475,130089475
Coua serriana,LC,2018,https://www.iucnredlist.org/species/22684156/130089830,130089830
Coua reynaudii,LC,2018,https://www.iucnredlist.org/species/22684160/130093879,130093879
Coua cursor,LC,2018,https://www.iucnredlist.org/species/22684164/130094351,130094351
Coua caerulea,LC,2018,https://www.iucnredlist.org/species/22684188/130094715,130094715
Centropus toulou,LC,2018,https://www.iucnredlist.org/species/22684243/130095083,130095083
Coccycua cinerea,LC,2018,https://www.iucnredlist.org/species/22684318/130095337,130095337
Coccyzus lansbergi,LC,2018,https://www.iucnredlist.org/species/22684346/130095627,130095627
Piaya melanogaster,LC,2018,https://www.iucnredlist.org/species/22684376/130095914,130095914
Coccyzus vetula,LC,2018,https://www.iucnredlist.org/species/22684399/130096625,130096625
Coccyzus longirostris,LC,2018,https://www.iucnredlist.org/species/22684408/130096860,130096860
Dromococcyx pavoninus,LC,2018,https://www.iucnredlist.org/species/22684455/130098249,130098249
Chalcopsitta duivenbodei,LC,2018,https://www.iucnredlist.org/species/22684491/130098893,130098893
Psitteuteles goldiei,LC,2018,https://www.iucnredlist.org/species/22684578/130099733,130099733
Lorius lory,LC,2018,https://www.iucnredlist.org/species/22684594/130100210,130100210
Cacatua ducorpsii,LC,2018,https://www.iucnredlist.org/species/22684823/130100557,130100557
Geoffroyus geoffroyi,LC,2018,https://www.iucnredlist.org/species/22684945/130100864,130100864
Prioniturus platurus,LC,2018,https://www.iucnredlist.org/species/22684997/130101564,130101564
Agapornis swindernianus,LC,2018,https://www.iucnredlist.org/species/22685338/130102440,130102440
Ara severus,LC,2018,https://www.iucnredlist.org/species/22685577/130103061,130103061
Pyrrhura molinae,LC,2018,https://www.iucnredlist.org/species/22685820/130103512,130103512
Brotogeris chiriri,LC,2018,https://www.iucnredlist.org/species/22685963/130103839,130103839
Touit dilectissimus,LC,2018,https://www.iucnredlist.org/species/22686021/130104180,130104180
Pionopsitta pileata,LC,2018,https://www.iucnredlist.org/species/22686090/130104593,130104593
Cypseloides fumigatus,LC,2018,https://www.iucnredlist.org/species/22686453/130105673,130105673
Streptoprocne biscutata,LC,2018,https://www.iucnredlist.org/species/22686479/130107375,130107375
Collocalia troglodytes,LC,2018,https://www.iucnredlist.org/species/22686504/130107820,130107820
Aerodramus infuscatus,LC,2018,https://www.iucnredlist.org/species/22686522/130108054,130108054
Aerodramus salangana,LC,2018,https://www.iucnredlist.org/species/22686558/130108430,130108430
Zoonavena grandidieri,LC,2018,https://www.iucnredlist.org/species/22686638/130108718,130108718
Telacanthura ussheri,LC,2018,https://www.iucnredlist.org/species/22686652/130108988,130108988
Neafrapus boehmi,LC,2018,https://www.iucnredlist.org/species/22686672/130109598,130109598
Tachornis furcata,LC,2018,https://www.iucnredlist.org/species/22686747/130110003,130110003
Apus barbatus,LC,2018,https://www.iucnredlist.org/species/22686819/130110767,130110767
Apus balstoni,LC,2018,https://www.iucnredlist.org/species/22686839/130111276,130111276
Apus batesi,LC,2018,https://www.iucnredlist.org/species/22686887/130111635,130111635
Hemiprocne coronata,LC,2018,https://www.iucnredlist.org/species/22686891/130112154,130112154
Phaethornis superciliosus,LC,2018,https://www.iucnredlist.org/species/22686940/130113277,130113277
Phaethornis malaris,LC,2018,https://www.iucnredlist.org/species/22686946/130113729,130113729
Phaethornis eurynome,LC,2018,https://www.iucnredlist.org/species/22686949/130114182,130114182
Phaethornis hispidus,LC,2018,https://www.iucnredlist.org/species/22686952/130114646,130114646
Phaethornis augusti,LC,2018,https://www.iucnredlist.org/species/22686973/130116071,130116071
Phaethornis subochraceus,LC,2018,https://www.iucnredlist.org/species/22686979/130116474,130116474
Phaethornis nattereri,LC,2018,https://www.iucnredlist.org/species/22686982/130116856,130116856
Phaethornis idaliae,LC,2018,https://www.iucnredlist.org/species/22687010/130117234,130117234
Avocettula recurvirostris,LC,2018,https://www.iucnredlist.org/species/22687146/130118659,130118659
Lophornis ornatus,LC,2018,https://www.iucnredlist.org/species/22687181/130119414,130119414
Discosura langsdorffi,LC,2018,https://www.iucnredlist.org/species/22687259/130119803,130119803
Discosura conversii,LC,2018,https://www.iucnredlist.org/species/22687275/130120316,130120316
Leucippus fallax,LC,2018,https://www.iucnredlist.org/species/22687491/130121189,130121189
Lampornis sybillae,LC,2018,https://www.iucnredlist.org/species/22687676/130121525,130121525
Heliodoxa leadbeateri,LC,2018,https://www.iucnredlist.org/species/22687743/130121925,130121925
Boissonneaua jardini,LC,2018,https://www.iucnredlist.org/species/22687874/130122269,130122269
Urosticte benjamini,LC,2018,https://www.iucnredlist.org/species/22687962/130122695,130122695
Heliothryx barroti,LC,2018,https://www.iucnredlist.org/species/22688108/130122980,130122980
Heliomaster furcifer,LC,2018,https://www.iucnredlist.org/species/22688144/130124235,130124235
Tauraco livingstonii,LC,2018,https://www.iucnredlist.org/species/22688331/130124606,130124606
Tauraco corythaix,LC,2018,https://www.iucnredlist.org/species/22688335/130124892,130124892
Tauraco macrorhynchus,LC,2018,https://www.iucnredlist.org/species/22688350/130125187,130125187
Otus brookii,LC,2018,https://www.iucnredlist.org/species/22688703/130155259,130155259
Megascops watsonii,LC,2018,https://www.iucnredlist.org/species/22688856/130155655,130155655
Bubo nipalensis,LC,2018,https://www.iucnredlist.org/species/22688970/130156069,130156069
Bubo leucostictus,LC,2018,https://www.iucnredlist.org/species/22688996/130156693,130156693
Ketupa flavipes,LC,2018,https://www.iucnredlist.org/species/22689017/130157883,130157883
Scotopelia peli,LC,2018,https://www.iucnredlist.org/species/22689032/130158217,130158217
Scotopelia bouvieri,LC,2018,https://www.iucnredlist.org/species/22689048/130158713,130158713
Ciccaba nigrolineata,LC,2018,https://www.iucnredlist.org/species/22689133/130159025,130159025
Ciccaba albitarsis,LC,2018,https://www.iucnredlist.org/species/22689154/130160167,130160167
Lophostrix cristata,LC,2018,https://www.iucnredlist.org/species/22689177/130160501,130160501
Pulsatrix perspicillata,LC,2018,https://www.iucnredlist.org/species/22689180/130161018,130161018
Pulsatrix melanota,LC,2018,https://www.iucnredlist.org/species/22689183/130161594,130161594
Pulsatrix koeniswaldiana,LC,2018,https://www.iucnredlist.org/species/22689186/130162020,130162020
Glaucidium hardyi,LC,2018,https://www.iucnredlist.org/species/22689234/130162570,130162570
Glaucidium minutissimum,LC,2018,https://www.iucnredlist.org/species/22689240/130162980,130162980
Glaucidium castaneum,LC,2018,https://www.iucnredlist.org/species/22689295/130163557,130163557
Ninox variegata,LC,2018,https://www.iucnredlist.org/species/22689475/130164063,130164063
Asio madagascariensis,LC,2018,https://www.iucnredlist.org/species/22689517/130164463,130164463
Aegotheles crinifrons,LC,2018,https://www.iucnredlist.org/species/22689546/130166032,130166032
Batrachostomus hodgsoni,LC,2018,https://www.iucnredlist.org/species/22689607/130166556,130166556
Antrostomus cubanensis,LC,2018,https://www.iucnredlist.org/species/22689786/130167550,130167550
Nyctipolus hirundinaceus,LC,2018,https://www.iucnredlist.org/species/22689868/130168884,130168884
Columba unicincta,LC,2018,https://www.iucnredlist.org/species/22690127/130169710,130169710
Patagioenas plumbea,LC,2018,https://www.iucnredlist.org/species/22690321/130170379,130170379
Patagioenas goodsoni,LC,2018,https://www.iucnredlist.org/species/22690340/130171265,130171265
Columba delegorguei,LC,2018,https://www.iucnredlist.org/species/22690359/130171613,130171613
Streptopelia tranquebarica,LC,2018,https://www.iucnredlist.org/species/22690493/130171997,130171997
